id,symbol,name,current_price,market_cap,price_change_percentage_24h,total_volume,pulled_at
stellar,xlm,Stellar,0.23707,7404586230.0,-2.12623,142549094.0,06/21/2025 19:32
avalanche-2,avax,Avalanche,16.94,7152663600.0,-3.06023,361027458.0,06/21/2025 19:32
usds,usds,USDS,0.999771,7130248762.0,0.01095,3366208.0,06/21/2025 19:32
the-open-network,ton,Toncoin,2.87,7086592133.0,-2.01575,50108876.0,06/21/2025 19:32
whitebit,wbt,WhiteBIT Coin,48.56,6997769474.0,-0.89198,36993275.0,06/21/2025 19:32
shiba-inu,shib,Shiba Inu,1.094e-05,6447172686.0,-3.55591,137479299.0,06/21/2025 19:32
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),0.999022,6281397499.0,-0.00535,5985030924.0,06/21/2025 19:32
litecoin,ltc,Litecoin,80.45,6110319493.0,-3.22548,279427296.0,06/21/2025 19:32
weth,weth,WETH,2284.64,6039957919.0,-5.22343,246829648.0,06/21/2025 19:32
wrapped-eeth,weeth,Wrapped eETH,2444.99,5997418212.0,-5.19518,3976452.0,06/21/2025 19:32
hedera-hashgraph,hbar,Hedera,0.138075,5835179386.0,-4.81715,113752056.0,06/21/2025 19:32
monero,xmr,Monero,309.28,5705484967.0,-0.40029,56454201.0,06/21/2025 19:32
ethena-usde,usde,Ethena USDe,1.0,5601175491.0,-0.03482,90724439.0,06/21/2025 19:32
polkadot,dot,Polkadot,3.34,5083485572.0,-3.16615,186725952.0,06/21/2025 19:32
bitget-token,bgb,Bitget Token,4.22,4933081142.0,-0.38338,60195591.0,06/21/2025 19:32
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,102495.0,4747026385.0,-0.7963,249343979.0,06/21/2025 19:32
pepe,pepe,Pepe,9.38e-06,3935142902.0,-5.07569,693360198.0,06/21/2025 19:32
uniswap,uni,Uniswap,6.46,3877735786.0,-8.45685,593069275.0,06/21/2025 19:32
pi-network,pi,Pi Network,0.516949,3873129042.0,-4.58798,71692990.0,06/21/2025 19:32
dai,dai,Dai,0.999752,3714467275.0,0.0248,55714531.0,06/21/2025 19:32
aave,aave,Aave,235.62,3571160999.0,-4.8271,340369215.0,06/21/2025 19:32
ethena-staked-usde,susde,Ethena Staked USDe,1.18,3187577490.0,0.02158,15379124.0,06/21/2025 19:32
okb,okb,OKB,50.84,3050908446.0,-2.18932,10999579.0,06/21/2025 19:32
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2891612149.0,0.0,0.0,06/21/2025 19:32
bittensor,tao,Bittensor,318.34,2824931422.0,-6.21592,116020085.0,06/21/2025 19:32
aptos,apt,Aptos,4.18,2686828247.0,-2.57058,324266269.0,06/21/2025 19:32
crypto-com-chain,cro,Cronos,0.084506,2625469595.0,-4.05643,18060837.0,06/21/2025 19:32
susds,susds,sUSDS,1.056,2569016057.0,0.00553,10480051.0,06/21/2025 19:32
internet-computer,icp,Internet Computer,4.79,2559939691.0,-3.15515,59201574.0,06/21/2025 19:32
jito-staked-sol,jitosol,Jito Staked SOL,164.66,2443635578.0,-2.97981,38379820.0,06/21/2025 19:32
near,near,NEAR Protocol,1.98,2438501228.0,-4.74865,134423324.0,06/21/2025 19:32
ethereum-classic,etc,Ethereum Classic,15.59,2377381595.0,-3.55063,65679964.0,06/21/2025 19:32
bitcoin,btc,Bitcoin,102979.0,2048262853341.0,-0.26916,25112703933.0,06/21/2025 19:46
ethereum,eth,Ethereum,2299.53,277761189138.0,-4.6528,16765379134.0,06/21/2025 19:46
